年,月,行業別,營業額_千元,年月
2021,8,資通訊及家電設備零售業,22036900,202108
2021,8,汽機車及其零配件、用品零售業,54935443,202108
2021,8,電子購物及郵購業,32938254,202108
2021,8,餐飲業,52498181,202108
2021,9,百貨公司業,25202995,202109
2021,9,超級市場業,19041519,202109
2021,9,便利商店業,28265162,202109
2021,9,零售式量販業,19842948,202109
2021,9,其他綜合商品零售業,8773473,202109
2021,9,食品、飲料及菸草製品零售業,24621212,202109
2021,9,文教育樂用品零售業,5764759,202109
2021,9,燃料及相關產品零售業,22024490,202109
2021,9,資通訊及家電設備零售業,22398430,202109
2021,9,汽機車及其零配件、用品零售業,62769806,202109
2021,9,電子購物及郵購業,29794338,202109
2021,9,餐飲業,55597291,202109
2021,0,百貨公司業,47290351,202100
2021,0,超級市場業,19898605,202100
2021,0,便利商店業,30639436,202100
2021,0,零售式量販業,20664524,202100
2021,0,其他綜合商品零售業,9414572,202100
2021,0,食品、飲料及菸草製品零售業,23730067,202100
2021,0,文教育樂用品零售業,7222487,202100
2021,0,燃料及相關產品零售業,23931038,202100
2021,0,資通訊及家電設備零售業,27568966,202100
2021,0,汽機車及其零配件、用品零售業,57017913,202100
2021,0,電子購物及郵購業,32267274,202100
2021,0,餐飲業,64810794,202100
2021,1,百貨公司業,42830755,202101
2021,1,超級市場業,18139051,202101
2021,1,便利商店業,29550425,202101
2021,1,零售式量販業,19776449,202101
2021,1,其他綜合商品零售業,8973294,202101
2021,1,食品、飲料及菸草製品零售業,23292351,202101
2021,1,文教育樂用品零售業,6849674,202101
2021,1,燃料及相關產品零售業,23181890,202101
2021,1,資通訊及家電設備零售業,25943967,202101
2021,1,汽機車及其零配件、用品零售業,61739477,202101
2021,1,電子購物及郵購業,46811429,202101
2021,1,餐飲業,64513108,202101
2021,2,百貨公司業,37526834,202102
2021,2,超級市場業,19040166,202102
2021,2,便利商店業,29018517,202102
2021,2,零售式量販業,19914884,202102
2021,2,其他綜合商品零售業,9635357,202102
2021,2,食品、飲料及菸草製品零售業,24919508,202102
2021,2,文教育樂用品零售業,7032243,202102
2021,2,燃料及相關產品零售業,23642761,202102
2021,2,資通訊及家電設備零售業,22969217,202102
2021,2,汽機車及其零配件、用品零售業,60300878,202102
2021,2,電子購物及郵購業,36047379,202102
2021,2,餐飲業,73939181,202102
2022,1,百貨公司業,33485182,202201
2022,1,超級市場業,21600066,202201
2022,1,便利商店業,32361982,202201
2022,1,零售式量販業,26100924,202201
