年月,年,月,家用產品,銷售額_千元,年月KEY
2024-11-01,2024,11,排油煙機,298828.0,202411
2024-11-01,2024,11,熱水器,305221.0,202411
2024-11-01,2024,11,瓦斯爐,218331.0,202411
2024-11-01,2024,11,其他家用電器及零組件,1071971.0,202411
2024-12-01,2024,12,家用電扇,462089.0,202412
2024-12-01,2024,12,電冰箱,511296.0,202412
2024-12-01,2024,12,排油煙機,281279.0,202412
2024-12-01,2024,12,熱水器,429791.0,202412
2024-12-01,2024,12,瓦斯爐,258009.0,202412
2024-12-01,2024,12,其他家用電器及零組件,1127530.0,202412
2025-01-01,2025,1,家用電扇,428767.0,202501
2025-01-01,2025,1,電冰箱,544074.0,202501
2025-01-01,2025,1,排油煙機,324089.0,202501
2025-01-01,2025,1,熱水器,461739.0,202501
2025-01-01,2025,1,瓦斯爐,251922.0,202501
