年度標籤,路線方向,路段,交流道,進出口,週六,週日,週2-4,平日
108年,國3北向,非主線資料,南州,出口,532,501,446,
108年,國3北向,非主線資料,林邊,進口,4832,6141,3658,
108年,國3北向,非主線資料,大鵬灣端,進口,1239,1603,794,
108年,國1高架南向,非主線資料,汐止端,進口,32620,33496,29972,
108年,國1高架南向,非主線資料,堤頂,進口,23888,20127,28244,
108年,國1高架南向,非主線資料,堤頂,出口,11576,10768,12590,
108年,國1高架南向,非主線資料,環北,進口,25426,23691,24145,
108年,國1高架南向,非主線資料,五股轉接道,出口,46418,43556,49255,
108年,國1高架南向,非主線資料,泰山轉接道,進口,39766,37036,33411,
108年,國1高架南向,非主線資料,機場系統,進口,7496,7182,7930,
108年,國1高架南向,非主線資料,機場系統,出口,22432,22610,22707,
108年,國1高架南向,非主線資料,中壢轉接道,進口,"44,766","39,654","35,751",
108年,國1高架南向,非主線資料,中壢轉接道,出口,48522,44462,38815,
108年,國1高架北向,非主線資料,汐止端,出口,37935,34154,32964,
108年,國1高架北向,非主線資料,堤頂,進口,12511,10696,13471,
108年,國1高架北向,非主線資料,堤頂,出口,18386,16819,22490,
108年,國1高架北向,非主線資料,下塔悠,出口,6092,5708,9022,
108年,國1高架北向,非主線資料,環北,出口,26797,25799,26358,
108年,國1高架北向,非主線資料,五股轉接道,進口,52804,47119,54720,
108年,國1高架北向,非主線資料,泰山轉接道,出口,33829,34643,29688,
108年,國1高架北向,非主線資料,機場系統,進口,21733,21497,22391,
108年,國1高架北向,非主線資料,機場系統,出口,7955,8044,8398,
108年,國1高架北向,非主線資料,中壢轉接道,進口,44412,46117,37899,
108年,國1高架北向,非主線資料,中壢轉接道,出口,39586,42793,34551,
108年,國1高架北向,非主線資料,楊梅端,進口,39598,42847,35061,
108年,國2東向,非主線資料,機場端,進口,45146,46679,46503,
108年,國2東向,非主線資料,大園,進口,19502,17385,23260,
108年,國2東向,非主線資料,大園,出口,6717,6838,7466,
108年,國2東向,非主線資料,大竹,進口,25020,22396,27169,
108年,國2東向,非主線資料,大竹,出口,5800,5466,6870,
108年,國2東向,非主線資料,機場系統,進口,46934,42378,46872,
108年,國2東向,非主線資料,機場系統,出口,49008,46317,50812,
108年,國2東向,非主線資料,南桃園,進口,18261,15474,18709,
108年,國2東向,非主線資料,南桃園,出口,35106,32093,36396,
108年,國2東向,非主線資料,大湳,進口,25021,21665,25499,
108年,國2東向,非主線資料,大湳,出口,21500,19063,23349,
108年,國2東向,非主線資料,鶯歌系統,出口,61579,55259,63601,
108年,國2西向,非主線資料,機場端,出口,44655,46609,49332,
108年,國2西向,非主線資料,大園,進口,8289,8344,9025,
108年,國2西向,非主線資料,大園,出口,21071,19066,23813,
108年,國2西向,非主線資料,大竹,進口,4918,4482,5895,
108年,國2西向,非主線資料,大竹,出口,27066,24202,26636,
108年,國2西向,非主線資料,機場系統,進口,46811,45388,49907,
108年,國2西向,非主線資料,機場系統,出口,45071,40677,47149,
108年,國2西向,非主線資料,南桃園,進口,38483,34419,39069,
108年,國2西向,非主線資料,南桃園,出口,17984,17277,19380,
108年,國2西向,非主線資料,大湳,進口,21056,19368,23644,
108年,國2西向,非主線資料,大湳,出口,21992,21369,23510,
108年,國2西向,非主線資料,鶯歌系統,進口,57405,56758,61402,
108年,國3甲東向,非主線資料,台北端,進口,24579,21089,23531,
108年,國3甲東向,非主線資料,萬芳,進口1-信義快,10728,9247,11124,
108年,國3甲東向,非主線資料,萬芳,進口2-木柵路,7081,6699,6438,
108年,國3甲東向,非主線資料,萬芳,出口,8041,7030,7647,
108年,國3甲東向,非主線資料,深坑端,出口,34505,30170,33672,
108年,國3甲西向,非主線資料,台北端,出口,22513,21630,23062,
108年,國3甲西向,非主線資料,木柵端,進口,24796,23895,27091,
108年,國3甲西向,非主線資料,木柵端,出口,8533,8965,8276,
108年,國3甲西向,非主線資料,萬芳,進口,7407,6539,7417,
108年,國3甲西向,非主線資料,萬芳,出口,19019,18440,19718,
108年,國3甲西向,非主線資料,深坑端,進口,18327,18645,17070,
108年,國5南向,非主線資料,南港系統,進口,36241,31186,24278,
108年,國5南向,非主線資料,石碇,進口,6786,4382,4193,
108年,國5南向,非主線資料,石碇,出口,3634,4299,3153,
108年,國5南向,非主線資料,坪林,進口,1474,614,596,
108年,國5南向,非主線資料,坪林,出口,2758,3873,1813,
108年,國5南向,非主線資料,頭城,進口,4836,2691,4431,
108年,國5南向,非主線資料,頭城,出口,11546,8846,7287,
108年,國5南向,非主線資料,宜蘭,進口,7047,6097,6314,
108年,國5南向,非主線資料,宜蘭,出口,13446,9956,9485,
108年,國5南向,非主線資料,羅東,進口,2862,2570,2904,
108年,國5南向,非主線資料,羅東,出口,16563,12185,11946,
108年,國5南向,非主線資料,蘇澳,出口,11036,9029,8860,
108年,國5北向,非主線資料,南港系統,出口,34827,39678,26239,
108年,國5北向,非主線資料,石碇,進口,4367,5061,3603,
108年,國5北向,非主線資料,石碇,出口,3776,4741,2824,
108年,國5北向,非主線資料,坪林,進口,3033,6183,1877,
108年,國5北向,非主線資料,坪林,出口,709,731,631,
108年,國5北向,非主線資料,頭城,進口,10887,13074,7600,
108年,國5北向,非主線資料,頭城,出口,4997,4367,4562,
108年,國5北向,非主線資料,宜蘭,進口,11027,10129,9286,
108年,國5北向,非主線資料,宜蘭,出口,5019,3068,5136,
108年,國5北向,非主線資料,羅東,進口,13337,11319,11069,
108年,國5北向,非主線資料,羅東,出口,2829,1776,3013,
108年,國5北向,非主線資料,蘇澳,進口,9669,8846,8978,
108年,國4東向,非主線資料,清水端,進口,15582,15210,14967,
108年,國4東向,非主線資料,中港系統,進口,16302,15760,14379,
108年,國4東向,非主線資料,中港系統,出口1-國3南,2655,2613,2358,
108年,國4東向,非主線資料,中港系統,出口2-國3北,3340,3547,3030,
108年,國4東向,非主線資料,神岡,進口,6399,6350,6127,
108年,國4東向,非主線資料,神岡,出口,3280,3453,3143,
108年,國4東向,非主線資料,台中系統,進口,14439,12961,13380,
108年,國4東向,非主線資料,台中系統,出口,17488,16327,18435,
108年,國4東向,非主線資料,后豐,出口,11500,10534,10848,
108年,國4東向,非主線資料,豐原端,出口,14462,13146,11838,
108年,國4西向,非主線資料,清水端,出口,16551,15634,14746,
108年,國4西向,非主線資料,中港系統,進口,6229,5090,5303,
108年,國4西向,非主線資料,中港系統,出口1-國3北,10820,10796,10139,
108年,國4西向,非主線資料,中港系統,出口2-國3南,4439,4463,4393,
108年,國4西向,非主線資料,神岡,進口,2535,2893,2597,
108年,國4西向,非主線資料,神岡,出口,6174,5660,5825,
108年,國4西向,非主線資料,台中系統,進口,19239,18027,17637,
108年,國4西向,非主線資料,台中系統,出口,12628,14320,13504,
108年,國4西向,非主線資料,后豐,進口,10735,12597,11206,
108年,國4西向,非主線資料,豐原端,進口,12930,13622,11851,
108年,國6東向,非主線資料,霧峰系統,進口,26328,22009,16138,
108年,國6東向,非主線資料,舊正,進口,3499,2690,2201,
108年,國6東向,非主線資料,舊正,出口,2408,2494,2760,
108年,國6東向,非主線資料,東草屯,進口,1216,1186,1345,
108年,國6東向,非主線資料,東草屯,出口,3769,3292,3386,
108年,國6東向,非主線資料,國姓,進口,446,380,360,
108年,國6東向,非主線資料,國姓,出口,2835,2334,1710,
108年,國6東向,非主線資料,北山,出口,888,634,371,
108年,國6東向,非主線資料,愛蘭,進口,483,381,365,
108年,國6東向,非主線資料,愛蘭,出口,11515,10035,6555,
108年,國6東向,非主線資料,埔里,出口,5188,4793,3163,
108年,國6東向,非主線資料,埔里端,出口,4586,3540,2488,
108年,國6西向,非主線資料,霧峰系統,出口,22200,25761,17085,
108年,國6西向,非主線資料,舊正,進口,2765,2946,2814,
108年,國6西向,非主線資料,舊正,出口,2752,5119,2188,
108年,國6西向,非主線資料,東草屯,進口,3498,3390,3366,
108年,國6西向,非主線資料,東草屯,出口,1110,2018,884,
108年,國6西向,非主線資料,國姓,進口,3054,3889,2165,
108年,國6西向,非主線資料,國姓,出口,396,403,399,
108年,國6西向,非主線資料,北山,進口,623,1301,487,
108年,國6西向,非主線資料,愛蘭,進口,9794,12216,6767,
108年,國6西向,非主線資料,愛蘭,出口,258,299,186,
108年,國6西向,非主線資料,埔里,進口,4349,5790,3499,
108年,國6西向,非主線資料,埔里端,進口,3239,4676,2361,
108年,國8東向,非主線資料,台南端,進口,11654,11469,11477,
108年,國8東向,非主線資料,新吉,進口,12758,11976,12539,
108年,國8東向,非主線資料,台南系統,進口,16055,16004,14871,
108年,國8東向,非主線資料,台南系統,出口,13732,12413,13699,
108年,國8東向,非主線資料,新市,進口,2717,2282,3074,
108年,國8東向,非主線資料,新市,出口,8792,8154,12704,
108年,國8東向,非主線資料,新化系統,進口,3148,3203,2645,
108年,國8東向,非主線資料,新化系統,出口,16321,15115,12047,
108年,國8東向,非主線資料,新化端,出口,7497,8435,5927,
108年,國8西向,非主線資料,台南端,出口,11174,10519,10507,
108年,國8西向,非主線資料,新吉,出口,11872,11891,12600,
108年,國8西向,非主線資料,台南系統,進口,12942,9435,13074,
108年,國8西向,非主線資料,台南系統,出口,15313,14223,13421,
108年,國8西向,非主線資料,新市,進口,9768,8320,13878,
108年,國8西向,非主線資料,新市,出口,3184,3279,3603,
108年,國8西向,非主線資料,新化系統,進口,15913,17625,11914,
108年,國8西向,非主線資料,新化系統,出口,3530,3916,2978,
108年,國8西向,非主線資料,新化端,進口,7578,9634,6274,
108年,國10東向,非主線資料,左營端,進口,29087,26321,28448,
108年,國10東向,非主線資料,鼎金系統,進口,39249,35136,34172,
108年,國10東向,非主線資料,鼎金系統,出口,24230,22465,21996,
108年,國10東向,非主線資料,仁武,進口,12730,10808,10668,
108年,國10東向,非主線資料,仁武,出口,18194,15287,18704,
108年,國10東向,非主線資料,燕巢,進口,8864,8237,8669,
108年,國10東向,非主線資料,燕巢,出口,6532,5788,9951,
108年,國10東向,非主線資料,燕巢系統,進口1-國3南,4337,3382,2818,
108年,國10東向,非主線資料,燕巢系統,進口2-國3北,1233,2073,1055,
108年,國10東向,非主線資料,燕巢系統,出口,21353,20036,16684,
108年,國10東向,非主線資料,嶺口,出口,5014,5213,3758,
108年,國10東向,非主線資料,里港,出口,4940,3687,4037,
108年,國10東向,非主線資料,旗山端,出口,16234,16634,9981,
108年,國10西向,非主線資料,左營端,出口,43022,42749,39915,
108年,國10西向,非主線資料,鼎金系統,進口,37355,34755,34724,
108年,國10西向,非主線資料,鼎金系統,出口,38059,35208,37045,
108年,國10西向,非主線資料,仁武,進口,17051,14608,18762,
108年,國10西向,非主線資料,仁武,出口,7878,7785,8312,
108年,國10西向,非主線資料,燕巢,進口,6718,5606,9611,
108年,國10西向,非主線資料,燕巢,出口,8471,8920,8663,
108年,國10西向,非主線資料,燕巢系統,進口1-國3南,8796,10357,5616,
108年,國10西向,非主線資料,燕巢系統,進口2-國3北,10321,10324,11146,
108年,國10西向,非主線資料,燕巢系統,出口,5049,5135,3679,
108年,國10西向,非主線資料,嶺口,進口,4821,5284,3924,
108年,國10西向,非主線資料,里港,進口,4423,3421,3910,
108年,國10西向,非主線資料,旗山端,進口,12994,16268,10049,
109年,國10西向,非主線資料,左營端,出口,42001,42175,38375,
109年,國10西向,非主線資料,鼎金系統,出口,31065,28593,31711,
109年,國10西向,非主線資料,仁武,出口,8981,9321,8742,
109年,國10西向,非主線資料,燕巢,出口,9042,10341,8454,
109年,國10西向,非主線資料,燕巢系統,出口,5891,5345,3820,
109年,國10東向,非主線資料,鼎金系統,出口,21964,21154,20336,
109年,國10東向,非主線資料,仁武,出口,16279,14418,17393,
109年,國10東向,非主線資料,燕巢,出口,6940,5848,8921,
109年,國10東向,非主線資料,燕巢系統,出口,21009,20151,16718,
109年,國10東向,非主線資料,嶺口,出口,5016,5021,3776,
109年,國10東向,非主線資料,里港,出口,5496,3587,4154,
109年,國10東向,非主線資料,旗山端,出口,15684,15619,9867,
109年,國1北向,非主線資料,基隆端,出口,30466,27311,28004,
109年,國1北向,非主線資料,基隆,出口,6316,5951,6979,
109年,國1北向,非主線資料,八堵,出口,7963,7079,6011,
109年,國1北向,非主線資料,大華系統,出口,30611,29217,23417,
109年,國1北向,非主線資料,五堵,出口,7438,6592,9649,
109年,國1北向,非主線資料,汐止及汐止系統,出口,23978,21841,25911,
109年,國1北向,非主線資料,東湖,出口,14064,13754,14670,
109年,國1北向,非主線資料,內湖,出口,15927,13826,19742,
109年,國1北向,非主線資料,圓山,出口,57444,51881,55610,
109年,國1北向,非主線資料,台北,出口,19311,17175,18821,
109年,國1北向,非主線資料,三重,出口,12886,12658,11594,
109年,國1北向,非主線資料,五股,出口,71132,66728,74453,
109年,國1北向,非主線資料,高公局,出口,182,146,396,
109年,國1北向,非主線資料,林口,出口,32621,30859,41942,
109年,國1北向,非主線資料,桃園,出口,31264,29764,34938,
109年,國1北向,非主線資料,機場系統,出口,24670,22466,26849,
109年,國1北向,非主線資料,內壢,出口,17950,17013,20549,
109年,國1北向,非主線資料,中壢,出口,27389,26266,26039,
109年,國1北向,非主線資料,平鎮系統,出口,17496,15511,19593,
109年,國1北向,非主線資料,幼獅,出口,2430,2039,3687,
109年,國1北向,非主線資料,楊梅,出口,4844,4393,5993,
109年,國1北向,非主線資料,高架楊梅端,出口,31144,33641,26181,
109年,國1北向,非主線資料,湖口,出口,14345,12656,20288,
109年,國1北向,非主線資料,竹北,出口,16857,15237,23394,
109年,國1北向,非主線資料,新竹,出口,24096,27079,27634,
109年,國1北向,非主線資料,新竹系統,出口,17808,21118,11885,
109年,國1北向,非主線資料,頭份,出口,6807,6425,5388,
109年,國1北向,非主線資料,頭屋,出口,1346,1534,902,
109年,國1北向,非主線資料,苗栗,出口,6299,6086,5201,
109年,國1北向,非主線資料,銅鑼,出口,4234,3610,2833,
109年,國1北向,非主線資料,三義,出口,5010,5131,3083,
109年,國1北向,非主線資料,后里,出口,11440,10778,11672,
109年,國1北向,非主線資料,台中系統,出口,27104,24303,27138,
109年,國1北向,非主線資料,豐原,出口,12358,10181,15722,
109年,國1北向,非主線資料,大雅,出口,10759,9294,13502,
109年,國1北向,非主線資料,台中,出口,15996,15852,15220,
109年,國1北向,非主線資料,南屯,出口,14173,13673,14002,
109年,國1北向,非主線資料,王田,出口,7493,7481,8139,
